150
150
150
150
150
150
143 7
60 90
46 104
106 44
116 34
114 36
104 46
108 14 10
46 30 19
25 17 30
21 23 30
28 27 40
26 34 39
29 25 55
28 28 65
61 17 33
55 21 16
60 24 6
57 28 17
49 27 44
40 27 43
39 26 43
38 26 42
38 26 41
37 26 40
37 26 40
36 26 39
36 26 39
33 25 37
30 23 34
28 21 31
27 21 30
26 20 28
24 22 25
22 25 23
24 27 21
26 24 19
25 23 22
22 25 24
24 22 26
22 24 29
23 21 31
20 22 27
22 24 25
25 23 23
23 25 21
20 26 22
23 25 25
21 22 27
23 24 24
21 27 27
23 24 24
20 26 26
22 29 23
24 26 25
25 27 22
28 30 24
24 32 21
22 30 20
25 28 23
23 26 26
26 24 24
23 26 26
21 29 24
23 26 27
22 24 25
24 26 22
21 28 24
24 26 27
26 29 24
24 26 27
26 23 29
24 26 27
21 27 29
18 24 31
20 27 28
23 25 26
26 28 24
22 30 25
25 27 28
22 24 25
24 26 27
25 28 23
24 26 22
21 28 23
23 25 25
26 28 23
23 25 25
26 23 28
29 25 25
26 28 28
28 24 30
26 28 28
24 26 32
22 29 29
